ASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,NASA [m^2/cm^3],POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,logKH_CH4
228.475,1659.98,3.97384,5.22092,5.22092,0.0,0.0520156,0.09014,0.0,0.0,1.73294,228.475,131.8424180871813,0.09014,0.0520156,-5.659268433735467
1545.85,101117.0,0.0,0.0,0.0,0.0,2.38535,0.8347,0.0,0.0,0.349927,1545.85,4417.635678298617,0.8347,2.38535,-5.087769969957882
1527.32,102543.0,0.0,0.0,0.0,0.0,2.41695,0.8374600000000001,0.0,0.0,0.346494,1527.32,4407.9262555772975,0.8374600000000001,2.41695,-5.087351300628032
1540.74,102044.0,0.0,0.0,0.0,0.0,2.4314,0.8343200000000001,0.0,0.0,0.343144,1540.74,4490.068309514373,0.8343200000000001,2.4314,-5.087658356190379
1447.37,3402.63,4.65537,7.1439,7.12384,0.0,0.407227,0.4679999999999999,0.0,0.0,1.14924,1447.37,1259.4149176847309,0.4679999999999999,0.407227,-4.6928613858673645
0.0,2328.35,3.37779,5.4607,5.4607,213.127,0.0,0.0,0.0955806,0.1452,1.5191400000000002,213.127,140.29450873520543,0.1452,0.0955806,-3.4283773370385338
942.065,2660.54,3.89327,5.20085,4.84433,0.0,0.299694,0.34602,0.0,0.0,1.15458,942.065,815.937397148747,0.34602,0.299694,-4.328338503753777
985.468,2686.72,3.94888,5.20115,4.84777,0.0,0.269706,0.3397,0.0,0.0,1.25952,985.468,782.4155233739838,0.3397,0.269706,-4.3627004410383705
0.0,5939.98,2.7821700000000003,4.00255,3.89811,10.4834,0.0,0.0,0.00729991,0.01062,1.4548100000000002,10.4834,7.20602690385686,0.01062,0.00729991,-5.384249790808616
0.0,1527.86,3.57647,4.91034,4.78103,502.151,0.0,0.0,0.275582,0.28922,1.04949,502.151,478.47144803666544,0.28922,0.275582,-4.382623223713274
1952.08,10047.8,5.53552,8.42183,8.418510000000001,0.0,0.650814,0.5619200000000001,0.0,0.0,0.8634109999999999,1952.08,2260.8931320078154,0.5619200000000001,0.650814,-4.929821703415338
1969.77,9225.87,7.20033,10.01475,10.00686,75.9808,1.13727,0.6220399999999999,0.0693652999999999,0.0379399999999999,0.546959,2045.7508,3740.226963995474,0.65998,1.2066353,-4.7537846400227135
0.0,1839.35,3.3362800000000004,4.15174,4.09093,229.816,0.0,0.0,0.1657209999999999,0.19132,1.15447,229.816,199.06623818722008,0.19132,0.1657209999999999,-4.685591303336652
0.0,2246.78,3.53433,5.69658,5.69658,1060.77,0.0,0.0,0.4243229999999999,0.41998,0.989764,1060.77,1071.7403340594324,0.41998,0.4243229999999999,-4.34214707815213
0.0,1796.2,3.11916,4.33665,4.32149,205.72,0.0,0.0,0.179029,0.2222,1.24114,205.72,165.75084196786824,0.2222,0.179029,-4.551700345338927
2634.56,5889.08,4.44764,5.7566,5.74856,0.0,0.582839,0.5833200000000001,0.0,0.0,1.00083,2634.56,2632.3751286432253,0.5833200000000001,0.582839,-3.980086503503561
0.0,4159.34,3.10567,4.14187,4.13974,50.5067,0.0,0.0,0.0535414,0.0671799999999999,1.25473,50.5067,40.253042487228335,0.0671799999999999,0.0535414,-5.196990383513207
1323.15,6787.7,7.02117,7.92311,7.40406,0.0,0.386739,0.40304,0.0,0.0,1.04215,1323.15,1269.6348894113137,0.40304,0.386739,-4.985571874154842
0.0,1863.12,2.66911,6.84733,6.84733,946.351,0.0,0.0,0.325126,0.33846,1.04101,946.351,909.0700377517988,0.33846,0.325126,-4.577123023290518
520.764,1611.5,4.55019,5.31461,5.31461,0.0,0.151189,0.1955599999999999,0.0,0.0,1.29348,520.764,402.60692086464417,0.1955599999999999,0.151189,-4.557449683410608
506.851,19369.7,7.10745,8.78556,8.76031,0.0,0.0918498,0.15544,0.0,0.0,1.69233,506.851,299.4989156961113,0.15544,0.0918498,-5.658680247214475
492.786,19272.1,6.948739999999999,8.62272,8.54042,0.0,0.0875577,0.14964,0.0,0.0,1.70904,492.786,288.3408229181295,0.14964,0.0875577,-5.684270996300838
878.0269999999999,1085.17,6.05262,6.31745,6.3123000000000005,0.0,0.193488,0.28606,0.0,0.0,1.47844,878.0269999999999,593.8874759882037,0.28606,0.193488,-4.9895389092883695
0.0,4184.14,3.40564,4.483280000000001,4.05023,181.067,0.0,0.0,0.128136,0.13448,1.04951,181.067,172.5252736991549,0.13448,0.128136,-4.800222889235655
770.3589999999999,1487.96,4.13919,5.6854700000000005,5.6854700000000005,0.0,0.238827,0.26938,0.0,0.0,1.12793,770.3589999999999,682.9847596925341,0.26938,0.238827,-4.404129167897128
